"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.0645816000553262,1,16,102.147321428571,"GO:0043129 surfactant homeostasis "," http://amigo.geneontology.org/amigo/term/GO:0043129"," ABCA3"
0.0645816000553262,1,16,102.147321428571,"GO:0060099 regulation of phagocytosis engulfment "," http://amigo.geneontology.org/amigo/term/GO:0060099"," CD36"
0.0645816000553262,1,16,102.147321428571,"GO:1905153 regulation of membrane invagination "," http://amigo.geneontology.org/amigo/term/GO:1905153"," CD36"
0.0652218121691195,2,252,12.9710884353741,"GO:0007599 hemostasis "," http://amigo.geneontology.org/amigo/term/GO:0007599"," CD36  ADTRP"
0.0652218121691195,2,251,13.022766078543,"GO:0050817 coagulation "," http://amigo.geneontology.org/amigo/term/GO:0050817"," CD36  ADTRP"
0.0652218121691195,2,250,13.0748571428571,"GO:0070374 positive regulation of ERK1 and ERK2 cascade "," http://amigo.geneontology.org/amigo/term/GO:0070374"," MARCO  CD36"
0.0655269019934048,1,17,96.1386554621849,"GO:0016056 rhodopsin mediated signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:0016056"," RS1"
0.0655269019934048,1,17,96.1386554621849,"GO:0033194 response to hydroperoxide "," http://amigo.geneontology.org/amigo/term/GO:0033194"," CD36"
0.0655269019934048,1,17,96.1386554621849,"GO:0044539 long-chain fatty acid import into cell "," http://amigo.geneontology.org/amigo/term/GO:0044539"," CD36"
0.0659182452930492,1,18,90.797619047619,"GO:0009642 response to light intensity "," http://amigo.geneontology.org/amigo/term/GO:0009642"," RS1"
0.0659182452930492,1,18,90.797619047619,"GO:0030299 intestinal cholesterol absorption "," http://amigo.geneontology.org/amigo/term/GO:0030299"," CD36"
0.0659182452930492,1,18,90.797619047619,"GO:0048875 chemical homeostasis within a tissue "," http://amigo.geneontology.org/amigo/term/GO:0048875"," ABCA3"
0.0659182452930492,1,18,90.797619047619,"GO:0055091 phospholipid homeostasis "," http://amigo.geneontology.org/amigo/term/GO:0055091"," ABCA3"
0.0659182452930492,1,18,90.797619047619,"GO:0140354 lipid import into cell "," http://amigo.geneontology.org/amigo/term/GO:0140354"," CD36"
0.0659182452930492,1,18,90.797619047619,"GO:1901387 positive regulation of voltage-gated calcium channel activity "," http://amigo.geneontology.org/amigo/term/GO:1901387"," STAC"
0.0659182452930492,1,18,90.797619047619,"GO:1902001 fatty acid transmembrane transport "," http://amigo.geneontology.org/amigo/term/GO:1902001"," CD36"
0.0667214157695975,3,791,6.19857323460358,"GO:0001934 positive regulation of protein phosphorylation "," http://amigo.geneontology.org/amigo/term/GO:0001934"," MARCO  CD36  ADTRP"
0.0667214157695975,4,1516,4.31228797587637,"GO:0006629 lipid metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0006629"," ADTRP  GPD1  ABCA3  CD36"
0.0667214157695975,2,269,12.1513542219862,"GO:0015850 organic hydroxy compound transport "," http://amigo.geneontology.org/amigo/term/GO:0015850"," MSR1  CD36"
0.0667214157695975,1,19,86.0187969924812,"GO:0019430 removal of superoxide radicals "," http://amigo.geneontology.org/amigo/term/GO:0019430"," CD36"
0.0667214157695975,1,19,86.0187969924812,"GO:0071404 cellular response to low-density lipoprotein particle stimulus "," http://amigo.geneontology.org/amigo/term/GO:0071404"," CD36"
0.0667214157695975,1,19,86.0187969924812,"GO:1903428 positive regulation of reactive oxygen species biosynthetic process "," http://amigo.geneontology.org/amigo/term/GO:1903428"," CD36"
0.0697387271345627,1,20,81.7178571428571,"GO:1900225 regulation of NLRP3 inflammasome complex assembly "," http://amigo.geneontology.org/amigo/term/GO:1900225"," CD36"
0.0708125701500961,1,21,77.8265306122449,"GO:0044241 lipid digestion "," http://amigo.geneontology.org/amigo/term/GO:0044241"," CD36"
0.0708125701500961,1,21,77.8265306122449,"GO:0045821 positive regulation of glycolytic process "," http://amigo.geneontology.org/amigo/term/GO:0045821"," GPD1"
0.0708125701500961,2,282,11.5911854103343,"GO:0051259 protein complex oligomerization "," http://amigo.geneontology.org/amigo/term/GO:0051259"," RS1  ABCA3"
0.0708125701500961,1,21,77.8265306122449,"GO:0071450 cellular response to oxygen radical "," http://amigo.geneontology.org/amigo/term/GO:0071450"," CD36"
0.0708125701500961,1,21,77.8265306122449,"GO:0071451 cellular response to superoxide "," http://amigo.geneontology.org/amigo/term/GO:0071451"," CD36"
0.0727373277083243,1,22,74.288961038961,"GO:0002283 neutrophil activation involved in immune response "," http://amigo.geneontology.org/amigo/term/GO:0002283"," PRAM1"
0.0727373277083243,1,22,74.288961038961,"GO:0044546 NLRP3 inflammasome complex assembly "," http://amigo.geneontology.org/amigo/term/GO:0044546"," CD36"
0.0727373277083243,1,22,74.288961038961,"GO:0098856 intestinal lipid absorption "," http://amigo.geneontology.org/amigo/term/GO:0098856"," CD36"
0.0730030344826689,5,2509,3.25698912486477,"GO:0051128 regulation of cellular component organization "," http://amigo.geneontology.org/amigo/term/GO:0051128"," KANK3  ABCA3  CD36  LRRN3  ADTRP"
0.074148004968328,1,23,71.0590062111801,"GO:0007603 phototransduction visible light "," http://amigo.geneontology.org/amigo/term/GO:0007603"," RS1"
0.074148004968328,3,857,5.72120353392232,"GO:0032940 secretion by cell "," http://amigo.geneontology.org/amigo/term/GO:0032940"," LGI3  PRAM1  ADTRP"
0.074148004968328,1,23,71.0590062111801,"GO:0046823 negative regulation of nucleocytoplasmic transport "," http://amigo.geneontology.org/amigo/term/GO:0046823"," CD36"
0.0754211371020902,2,303,10.7878359264498,"GO:0072659 protein localization to plasma membrane "," http://amigo.geneontology.org/amigo/term/GO:0072659"," PRAM1  STAC"
0.0758990695185362,1,24,68.0982142857143,"GO:0000303 response to superoxide "," http://amigo.geneontology.org/amigo/term/GO:0000303"," CD36"
0.0758990695185362,1,24,68.0982142857143,"GO:0140632 inflammasome complex assembly "," http://amigo.geneontology.org/amigo/term/GO:0140632"," CD36"
0.0780810542853261,1,25,65.3742857142857,"GO:0000305 response to oxygen radical "," http://amigo.geneontology.org/amigo/term/GO:0000305"," CD36"
0.0780810542853261,1,25,65.3742857142857,"GO:0071676 negative regulation of mononuclear cell migration "," http://amigo.geneontology.org/amigo/term/GO:0071676"," ADTRP"
0.0783182673541623,4,1660,3.9382099827883,"GO:0009719 response to endogenous stimulus "," http://amigo.geneontology.org/amigo/term/GO:0009719"," CD36  GPD1  ABCA3  ADTRP"
0.0791021804740856,3,892,5.49671684817425,"GO:0032880 regulation of protein localization "," http://amigo.geneontology.org/amigo/term/GO:0032880"," STAC  CD36  ADTRP"
0.0822849231650983,1,27,60.531746031746,"GO:0010842 retina layer formation "," http://amigo.geneontology.org/amigo/term/GO:0010842"," RS1"
0.0822849231650983,1,27,60.531746031746,"GO:0034383 low-density lipoprotein particle clearance "," http://amigo.geneontology.org/amigo/term/GO:0034383"," CD36"
0.0828281420793593,5,2642,3.09303017194766,"GO:0008104 protein localization "," http://amigo.geneontology.org/amigo/term/GO:0008104"," PRAM1  CD36  STAC  MSR1  ADTRP"
0.0828281420793593,3,915,5.35854800936768,"GO:0140352 export from cell "," http://amigo.geneontology.org/amigo/term/GO:0140352"," LGI3  PRAM1  ADTRP"
0.0838203764697317,1,28,58.3698979591837,"GO:0010875 positive regulation of cholesterol efflux "," http://amigo.geneontology.org/amigo/term/GO:0010875"," ABCA3"
